대학명,기숙사,교지확보율,교사확보율,연구비,교수당 외부 연구비,교수당 자체 연구비,논문실적,국내 학술지 논문,국제학술지 논문,전임교원확보율,장학금,교육비,외부경력교원,외국인교수,외국인학생,교환학생,취업률,유지취업률,중도탈락학생비율,창업활동,현장실습,창업교육,신입생충원,경쟁률,기회균형
성균관대학교,21.30 ,106.20 ,188.50 ,245294.35 ,224329.23 ,20965.10 ,2012.78 ,505.62 ,1507.17 ,129.42 ,3388267.30 ,27885103.10 ,0.61 ,105.00 ,2677.00 ,1433.00 ,77.00 ,95.40 ,2.30 ,15.00 ,752.00 ,158.00 ,99.70 ,19.40 ,5.70 
성신여자대학교,9.80 ,56.30 ,135.30 ,19242.51 ,15876.49 ,3366.01 ,271.53 ,231.61 ,39.93 ,66.67 ,3815886.70 ,12623320.10 ,0.44 ,25.00 ,22.00 ,724.00 ,59.60 ,77.90 ,3.30 ,8.00 ,190.00 ,31.00 ,100.00 ,11.10 ,7.20 
세종대학교,11.20 ,31.60 ,134.70 ,129079.76 ,123738.35 ,3332.41 ,557.54 ,176.22 ,381.32 ,84.18 ,3184328.70 ,15857592.70 ,0.49 ,71.00 ,924.00 ,845.00 ,64.20 ,85.70 ,5.50 ,27.00 ,314.00 ,20.00 ,100.00 ,15.80 ,9.60 
숙명여자대학교,11.80 ,22.50 ,126.40 ,48740.26 ,43899.30 ,2686.13 ,415.64 ,287.18 ,128.46 ,78.22 ,3347472.50 ,14491687.90 ,0.57 ,30.00 ,68.00 ,799.00 ,64.40 ,86.90 ,2.80 ,10.00 ,312.00 ,43.00 ,99.60 ,11.70 ,12.00 
숭실대학교,12.00 ,34.70 ,107.80 ,65404.85 ,61582.30 ,3822.54 ,653.81 ,449.08 ,204.73 ,81.34 ,3013314.10 ,13224918.20 ,0.54 ,37.00 ,1349.00 ,760.00 ,69.70 ,91.10 ,2.70 ,8.00 ,321.00 ,108.00 ,99.90 ,12.90 ,16.20 
연세대학교,36.70 ,218.50 ,293.50 ,226428.48 ,219985.34 ,6443.14 ,2155.40 ,593.75 ,1561.65 ,114.25 ,3419692.60 ,30591101.00 ,0.50 ,129.00 ,1279.00 ,4741.00 ,70.10 ,91.30 ,2.00 ,24.00 ,84.00 ,57.00 ,99.80 ,13.80 ,6.70 
이화여자대학교,22.20 ,103.80 ,192.80 ,118767.97 ,107464.09 ,11306.97 ,1035.14 ,582.69 ,452.46 ,90.93 ,3263233.90 ,19075139.00 ,0.66 ,56.00 ,975.00 ,1507.00 ,62.10 ,88.40 ,2.30 ,10.00 ,321.00 ,22.00 ,99.80 ,9.60 ,6.90 
중앙대학교,12.30 ,29.80 ,134.30 ,126540.46 ,115850.98 ,10689.48 ,1243.66 ,610.72 ,632.95 ,95.64 ,3042138.60 ,17223235.10 ,0.53 ,40.00 ,1815.00 ,1969.00 ,69.70 ,91.30 ,2.50 ,9.00 ,760.00 ,79.00 ,99.00 ,24.40 ,14.80 
장로회신학대학교,31.80 ,114.80 ,159.00 ,6253.59 ,2538.41 ,3715.19 ,98.50 ,91.50 ,7.00 ,63.71 ,4185125.60 ,11678545.50 ,0.00 ,4.00 ,6.00 ,,0.00 ,0.00 ,2.50 ,,,,100.00 ,3.50 ,1.90 
총신대학교,52.80 ,1279.00 ,186.60 ,3043.57 ,2440.89 ,629.46 ,130.02 ,125.52 ,4.50 ,65.12 ,3938458.70 ,9731499.40 ,0.29 ,8.00 ,8.00 ,11.00 ,31.50 ,83.90 ,4.30 ,2.00 ,,3.00 ,100.00 ,5.30 ,6.90 
케이씨대학교,9.40 ,291.10 ,108.10 ,6740.98 ,6740.98 ,0.00 ,31.89 ,29.81 ,2.08 ,75.81 ,3610063.30 ,9887883.30 ,0.87 ,2.00 ,0.00 ,32.00 ,68.20 ,75.20 ,8.50 ,1.00 ,,5.00 ,100.00 ,5.90 ,5.60 
한국성서대학교,15.30 ,139.20 ,168.70 ,4211.11 ,3777.78 ,433.33 ,39.82 ,37.62 ,2.20 ,84.91 ,4313629.80 ,12672752.00 ,0.75 ,3.00 ,27.00 ,3.00 ,72.90 ,82.30 ,5.60 ,1.00 ,15.00 ,1.00 ,99.60 ,7.00 ,5.90 
한국외국어대학교,17.90 ,582.90 ,146.60 ,28394.58 ,23528.43 ,4866.15 ,792.04 ,561.96 ,230.08 ,88.54 ,2561252.10 ,11345010.90 ,0.35 ,182.00 ,1776.00 ,2675.00 ,63.70 ,90.20 ,3.50 ,23.00 ,498.00 ,100.00 ,99.60 ,11.20 ,9.60 
한성대학교,11.20 ,35.10 ,123.60 ,23724.04 ,20227.60 ,3506.37 ,190.07 ,137.44 ,52.65 ,82.13 ,3393165.10 ,12496919.90 ,0.60 ,15.00 ,182.00 ,207.00 ,64.70 ,86.00 ,4.80 ,15.00 ,241.00 ,40.00 ,99.50 ,11.60 ,10.50 
한양대학교,11.70 ,73.60 ,164.50 ,177671.47 ,166263.80 ,11407.67 ,1249.45 ,455.31 ,794.15 ,96.90 ,3394820.40 ,21357041.20 ,0.62 ,73.00 ,1856.00 ,3849.00 ,73.40 ,91.70 ,2.60 ,43.00 ,843.00 ,512.00 ,99.50 ,21.00 ,12.30 
홍익대학교,12.80 ,28.20 ,155.80 ,46282.16 ,37725.15 ,8557.02 ,457.18 ,314.59 ,142.60 ,79.52 ,3896006.50 ,12391304.40 ,0.70 ,96.00 ,1092.00 ,413.00 ,68.20 ,93.90 ,3.60 ,25.00 ,420.00 ,81.00 ,100.00 ,14.10 ,9.80 
